NOME_BARRAGEM_MINERACAO,NOME_DO_EMPREENDEDOR,CPF_CNPJ,LATITUDE,LONGITUDE,POSICIONAMENTO,UF,MUNICIPIO,MINERIO_PRINCIPAL,ALTURA_ATUAL_metros,VOLUME_ATUAL_m3,CATEGORIA_DE_RISCO,DANO_POTENCIAL_ASSOCIADO,CLASSE,INSERIDA_NA_PNSB
Volta Grande 1,Amg Mineração S.a.,11.224.676/0001-85,"-21º05'08,200""","-44º35'12,700""",Sul do Equador,MG,NAZARENO,Pegmatito,40.00,"658,400.00",Baixa,Alta,B,Sim
Volta Grande 2,Amg Mineração S.a.,11.224.676/0001-85,"-21º05'16,000""","-44º35'22,800""",Sul do Equador,MG,NAZARENO,Pegmatito,32.00,"1,258,000.00",Baixa,Alta,B,Sim
Volta Grande 3,Amg Mineração S.a.,11.224.676/0001-85,"-21º04'21,600""","-44º35'18,540""",Sul do Equador,MG,SÃO TIAGO,Pegmatito,19.00,"264,601.17",Baixa,Alta,B,Sim
Bacia 02 Pé da Serra,Mineração Corumbaense Reunida Sa,03.327.988/0001-96,"-19º10'16,626""","-57º38'11,201""",Sul do Equador,MS,CORUMBÁ,Minério de Ferro,4.25,"27,525.00",Baixa,Média,C,Sim
Bacia 03-04 Pé da Serra,Mineração Corumbaense Reunida Sa,03.327.988/0001-96,"-19º10'26,511""","-57º38'22,230""",Sul do Equador,MS,CORUMBÁ,Minério de Ferro,4.20,"118,822.97",Baixa,Média,C,Sim
Bacia 07-08 Pé da Serra,Mineração Corumbaense Reunida Sa,03.327.988/0001-96,"-19º10'31,131""","-57º38'22,111""",Sul do Equador,MS,CORUMBÁ,Minério de Manganês,4.95,"169,312.50",Baixa,Alta,B,Sim
Barragem B-6,Vetorial Mineração S A,61.247.870/0001-54,"-19º15'45,700""","-57º31'37,400""",Sul do Equador,MS,CORUMBÁ,Minério de Ferro,11.00,"103,000.00",Baixa,Média,C,Sim
Barragem Sul,Vetorial Mineração S A,61.247.870/0001-54,"-19º12'19,900""","-57º38'07,100""",Sul do Equador,MS,CORUMBÁ,Minério de Ferro,23.00,"600,000.00",Baixa,Alta,B,Sim
Gregório,Mineração Corumbaense Reunida Sa,03.327.988/0001-96,"-19º13'28,008""","-57º33'35,925""",Sul do Equador,MS,CORUMBÁ,Minério de Ferro,34.50,"8,987,940.00",Baixa,Alta,B,Sim
Bacia de Rejeitos,Reginaldo Luiz de Almeida Ferreira Me,08.838.089/0001-71,"-15º41'28,900""","-56º21'03,500""",Sul do Equador,MT,NOSSA SENHORA DO LIVRAMENTO,Rocha Aurífera,25.00,"625,000.00",Média,Baixa,D,Sim
Barragem de Rejeito 1,Valdinei Mauro de Souza,00.056.836/0581-49,"-16º18'18,490""","-56º43'14,198""",Sul do Equador,MT,POCONÉ,Minério de Ouro Primário,15.00,"1,067,704.20",Média,Baixa,D,Sim
Barragem de Rejeito Estrela 03,Mara Daisy Gil Dias,00.082.494/2401-82,"-15º39'16,700""","-56º23'19,550""",Sul do Equador,MT,NOSSA SENHORA DO LIVRAMENTO,Minério de Ouro Primário,10.00,"95,000.00",Baixa,Média,C,Sim
Barragem de Rejeito Max,Marcio Nascimento,00.005.208/1651-04,"-15º53'44,100""","-56º11'07,400""",Sul do Equador,MT,NOSSA SENHORA DO LIVRAMENTO,Areia,7.50,"1,205,301.52",Média,Média,C,Sim
Barragem de Rejeitos Bom Futuro,José Maria Otávio Martins Duarte,00.086.950/7031-04,"-15º39'33,400""","-56º17'06,300""",Sul do Equador,MT,NOSSA SENHORA DO LIVRAMENTO,Rocha Aurífera,15.00,"1,183,119.15",Baixa,Baixa,E,Sim
Barragem do Serginho,Sergio da Silva,00.020.618/9991-91,"-15º55'18,280""","-56º09'47,540""",Sul do Equador,MT,NOSSA SENHORA DO LIVRAMENTO,Minério de Ouro Primário,30.00,"2,100,000.00",Média,Baixa,D,Sim
Barragem EPP,Mineração Apoena S A,10.302.599/0001-71,"-15º19'47,800""","-59º15'18,300""",Sul do Equador,MT,PONTES E LACERDA,Rocha Aurífera,51.00,"4,324,936.11",Baixa,Alta,B,Sim
BARRAGEM T01,Valdinei Mauro de Souza,00.056.836/0581-49,"-16º17'26,700""","-56º42'43,100""",Sul do Equador,MT,POCONÉ,Rocha Aurífera,16.00,"1,654,500.00",Baixa,Baixa,E,Sim
BARRAGEM T02,Euler Oliveira Coelho,00.087.897/8905-97,"-15º33'42,540""","-55º49'21,340""",Sul do Equador,MT,CUIABÁ,Rocha Aurífera,10.00,"3,534,000.00",Baixa,Baixa,E,Sim
BARRAGEM T03,Euler Oliveira Coelho,00.087.897/8905-97,"-15º50'05,240""","-56º11'12,360""",Sul do Equador,MT,NOSSA SENHORA DO LIVRAMENTO,Rocha Aurífera,12.00,"3,704,000.00",Média,Baixa,D,Sim
BR BOSCO,Filadelfo dos Reis Dias,00.004.794/2901-44,"-15º39'22,881""","-56º20'16,227""",Sul do Equador,MT,NOSSA SENHORA DO LIVRAMENTO,Minério de Ouro Primário,45.00,"1,300,000.00",Média,Média,C,Sim
BR ISMAEL,Ismael Ledovino de Arruda,00.015.682/9861-72,"-16º14'43,930""","-56º35'21,410""",Sul do Equador,MT,POCONÉ,Areia,14.00,"450,000.00",Alta,Média,B,Sim
BR SANTA FELICIDADE,Filadelfo dos Reis Dias,00.004.794/2901-44,"-15º39'49,845""","-56º21'09,410""",Sul do Equador,MT,NOSSA SENHORA DO LIVRAMENTO,Minério de Ouro Primário,20.30,"650,000.00",Média,Média,C,Sim
BRAVO 1,Nagella Chrissie Firmino Bravo,00.004.238/0611-44,"-15º27'59,450""","-56º27'39,225""",Sul do Equador,MT,NOSSA SENHORA DO LIVRAMENTO,Minério de Ouro Primário,15.00,"941,039.88",Baixa,Média,C,Sim
Cabeceiras,Mineração Apoena S A,10.302.599/0001-71,"-14º50'09,557""","-59º40'08,728""",Sul do Equador,MT,VILA BELA DA SANTÍSSIMA TRINDADE,Minério de Ouro Primário,16.50,"64,107.97",Baixa,Média,C,Sim
CASA DE PEDRA,Maney Mineração Casa de Pedra Ltda,80.336.233/0001-07,"-15º33'36,400""","-55º47'33,900""",Sul do Equador,MT,CUIABÁ,Minério de Ouro Primário,8.00,"15,652,000.00",Baixa,Alta,B,Sim
Casarão,Mineração Apoena S A,10.302.599/0001-71,"-14º51'08,697""","-59º39'16,087""",Sul do Equador,MT,VILA BELA DA SANTÍSSIMA TRINDADE,Minério de Ouro Primário,15.30,"50,676.20",Baixa,Média,C,Sim
Dique de Finos,Mineração Apoena S A,10.302.599/0001-71,"-14º50'22,300""","-59º39'27,300""",Sul do Equador,MT,VILA BELA DA SANTÍSSIMA TRINDADE,Minério de Ouro Primário,19.00,"419,440.80",Baixa,Alta,B,Sim
GONÇA,Gonçalo Pedroso de Barros,00.017.807/3441-72,"-16º14'03,300""","-56º36'35,600""",Sul do Equador,MT,POCONÉ,Areia,1.45,"265,000.00",Média,Média,C,Sim
OURO FINO,Lysander Lima de França,00.005.533/4409-92,"-16º18'45,010""","-56º39'08,230""",Sul do Equador,MT,POCONÉ,Areia,20.00,"867,000.00",Média,Média,C,Sim
Planta,PROMETÁLICA MINERAÇÃO LTDA,03.564.155/0001-49,"-15º23'46,300""","-58º08'42,900""",Sul do Equador,MT,RIO BRANCO,Minério de Zinco,20.00,"230,000.00",Média,Alta,B,Sim
POND 1 - BARRAGEM DE LIXIVIAÇÃO,NX GOLD S A Filial: NX GOLD SA,18.501.410/0002-62,"-14º38'26,700""","-52º29'49,000""",Sul do Equador,MT,NOVA XAVANTINA,Minério de Ouro Primário,13.12,"440,000.00",Baixa,Alta,B,Sim
POND 2 - BARRAGEM DE FLOTAÇÃO,NX GOLD S A Filial: NX GOLD SA,18.501.410/0002-62,"-14º38'20,200""","-52º29'55,000""",Sul do Equador,MT,NOVA XAVANTINA,Minério de Ouro Primário,16.24,"210,000.00",Baixa,Média,C,Sim
POND 3 - BARRAGEM DE FLOTAÇÃO,NX GOLD S A Filial: NX GOLD SA,18.501.410/0002-62,"-14º38'21,600""","-52º30'04,900""",Sul do Equador,MT,NOVA XAVANTINA,Minério de Ouro Primário,13.58,"150,000.00",Baixa,Média,C,Sim
RONDON,ROBERTO NUNES RONDON,00.035.257/1131-04,"-16º17'32,640""","-56º39'02,720""",Sul do Equador,MT,POCONÉ,Areia,25.00,"490,000.00",Média,Média,C,Sim
SANDRO GOMES,Valdinei Mauro de Souza,00.056.836/0581-49,"-16º17'42,550""","-56º43'32,220""",Sul do Equador,MT,POCONÉ,Areia,19.00,"200,000.00",Baixa,Baixa,E,Sim
Santa Tereza,Jeová Barbosa de Morais,00.070.217/8581-04,"-15º52'21,100""","-56º10'19,900""",Sul do Equador,MT,NOSSA SENHORA DO LIVRAMENTO,Aluvião Aurífero,15.00,"671,803.89",Média,Média,C,Sim
Santa Tereza II,Jeová Barbosa de Morais,00.070.217/8581-04,"-15º52'28,649""","-56º09'59,637""",Sul do Equador,MT,NOSSA SENHORA DO LIVRAMENTO,Minério de Ouro Primário,5.00,"150,000.00",Média,Média,C,Sim
Tanque Fundo,Humberto Covezzi,00.029.902/5251-72,"-15º59'15,130""","-56º18'49,880""",Sul do Equador,MT,NOSSA SENHORA DO LIVRAMENTO,Minério de Ouro Primário,15.40,"1,267,291.33",Média,Baixa,D,Sim
Tarumã,VM Mineração e Construção Eireli EPP,03.121.422/0001-03,"-16º13'12,740""","-56º36'35,760""",Sul do Equador,MT,POCONÉ,Minério de Ouro Primário,15.00,"642,200.99",Baixa,Baixa,E,Sim
TB01,Marcelo Massaru Takahashi,00.061.608/3191-72,"-15º57'23,000""","-56º28'44,300""",Sul do Equador,MT,NOSSA SENHORA DO LIVRAMENTO,Minério de Ouro Primário,15.00,"582,171.51",Baixa,Baixa,E,Sim
2 Kalunga,Vale S A Filial: Vale Manganês do Azul,33.592.510/0130-51,"-06º07'07,300""","-50º18'18,900""",Sul do Equador,PA,PARAUAPEBAS,Minério de Manganês,7.50,"718,027.00",Baixa,Média,C,Sim
Azul,Vale S A Filial: Vale Manganês do Azul,33.592.510/0130-51,"-06º04'41,300""","-50º17'29,300""",Sul do Equador,PA,PARAUAPEBAS,Minério de Manganês,32.00,"12,995,662.00",Baixa,Alta,B,Sim
B6,Mineração Paragominas S A Filial: Mineração Paragominas S.A.,12.094.570/0004-10,"-03º15'34,180""","-47º45'29,495""",Sul do Equador,PA,PARAGOMINAS,Bauxita Grau Metalúrgico,13.00,"595,008.65",Baixa,Alta,B,Sim
Bacia 1 A,Imerys. Rio Capim Caulim S A,16.532.798/0001-52,"-01º34'27,000""","-48º45'01,800""",Sul do Equador,PA,BARCARENA,Caulim,9.00,"858,000.00",Baixa,Alta,B,Sim
Bacia 1 B,Imerys. Rio Capim Caulim S A,16.532.798/0001-52,"-01º34'27,000""","-48º45'01,800""",Sul do Equador,PA,BARCARENA,Caulim,9.00,"260,000.00",Baixa,Alta,B,Sim
Bacia 17,Serabi Mineração S.a.,04.207.303/0001-30,"-06º19'30,340""","-55º47'10,880""",Sul do Equador,PA,ITAITUBA,Minério de Ouro Primário,14.50,"80,000.00",Baixa,Média,C,Sim
Bacia 2,Imerys. Rio Capim Caulim S A,16.532.798/0001-52,"-01º34'23,000""","-48º45'20,000""",Sul do Equador,PA,BARCARENA,Caulim,9.00,"850,000.00",Baixa,Alta,B,Sim
Bacia 3,Imerys. Rio Capim Caulim S A,16.532.798/0001-52,"-01º34'14,200""","-48º45'25,300""",Sul do Equador,PA,BARCARENA,Caulim,9.00,"467,248.00",Baixa,Alta,B,Sim
Bacia 5 A,Imerys. Rio Capim Caulim S A,16.532.798/0001-52,"-01º35'01,500""","-48º44'56,400""",Sul do Equador,PA,BARCARENA,Caulim,13.50,"510,000.00",Baixa,Alta,B,Sim
Bacia 5 B,Imerys. Rio Capim Caulim S A,16.532.798/0001-52,"-01º35'02,400""","-48º44'56,100""",Sul do Equador,PA,BARCARENA,Caulim,13.50,"270,000.00",Baixa,Alta,B,Sim
Bacia 5 C,Imerys. Rio Capim Caulim S A,16.532.798/0001-52,"-01º35'02,400""","-48º44'56,100""",Sul do Equador,PA,BARCARENA,Caulim,13.50,"767,000.00",Baixa,Alta,B,Sim
Bacia 6 A,Imerys. Rio Capim Caulim S A,16.532.798/0001-52,"-01º34'58,000""","-48º44'49,400""",Sul do Equador,PA,BARCARENA,Caulim,11.00,"374,825.00",Baixa,Média,C,Sim
Bacia B 1,Pará Pigmentos S A,33.931.510/0001-31,"-02º50'07,700""","-47º54'30,800""",Sul do Equador,PA,IPIXUNA DO PARÁ,Caulim,13.00,"270,000.00",Baixa,Média,C,Sim
Bacia B 4,Imerys. Rio Capim Caulim S A,16.532.798/0001-52,"-01º34'39,000""","-48º46'32,000""",Sul do Equador,PA,BARCARENA,Caulim,4.50,"45,000.00",Baixa,Média,C,Sim
Bacia de Controle Ambiental,Pará Pigmentos S A,33.931.510/0001-31,"-02º49'14,600""","-47º54'23,400""",Sul do Equador,PA,IPIXUNA DO PARÁ,Caulim,8.00,"175,000.00",Baixa,Média,C,Sim
BACIA DE REJEITOS 14/15,Serabi Mineração S.a.,04.207.303/0001-30,"-06º19'28,400""","-55º47'16,300""",Sul do Equador,PA,ITAITUBA,Minério de Ouro Primário,8.00,"130,000.00",Média,Média,C,Sim
BACIA DE REJEITOS 16,Serabi Mineração S.a.,04.207.303/0001-30,"-06º19'30,300""","-55º47'04,200""",Sul do Equador,PA,ITAITUBA,Minério de Ouro Primário,7.00,"87,000.00",Baixa,Média,C,Sim
Bacia de Segurança,Imerys. Rio Capim Caulim S A,16.532.798/0001-52,"-01º34'58,000""","-48º44'49,400""",Sul do Equador,PA,BARCARENA,Caulim,11.00,"30,000.00",Baixa,Média,C,Sim
Barragem de Água do Igarapé Bahia,Vale Minas Gerais,33.592.510/0217-47,"-06º01'44,576""","-50º33'06,980""",Sul do Equador,PA,PARAUAPEBAS,Areia,14.70,"600,000.00",Baixa,Média,C,Sim
BARRAGEM DE CAPTAÇÃO,Salobo Metais Sa.,33.931.478/0001-94,"-05º47'54,100""","-50º30'09,500""",Sul do Equador,PA,MARABÁ,Minério de Cobre,19.00,"220,238.65",Baixa,Média,C,Sim
BARRAGEM DE FINOS II,Salobo Metais Sa.,33.931.478/0001-94,"-05º49'26,300""","-50º29'29,100""",Sul do Equador,PA,MARABÁ,Minério de Cobre,13.00,"891,538.00",Baixa,Média,C,Sim
Barragem do Bandeira,Mineração Buritirama S A,27.121.672/0001-01,"-05º30'45,000""","-50º13'21,000""",Sul do Equador,PA,MARABÁ,Minério de Manganês,14.60,"1,724,296.94",Baixa,Média,C,Sim
Barragem do Mirante I e II,Cadam S.a.,04.788.980/0001-90,"-00º53'51,400""","-52º26'30,500""",Sul do Equador,PA,ALMEIRIM,Caulim,35.00,"1,182,758.00",Baixa,Alta,B,Sim
BARRAGEM DO SOSSEGO,Vale S A Filial: Vale Mina Sossego,33.592.510/0009-01,"-06º25'44,792""","-50º04'12,554""",Sul do Equador,PA,CANAÃ DOS CARAJÁS,Minério de Cobre,42.10,"108,119,279.13",Baixa,Alta,B,Sim
Deposito de Rejeito R4,Pará Pigmentos S A,33.931.510/0001-31,"-02º49'14,275""","-47º53'36,798""",Sul do Equador,PA,IPIXUNA DO PARÁ,Caulim,10.00,"1,190,000.00",Baixa,Média,C,Sim
DIQUE DE FINOS I,Salobo Metais Sa.,33.931.478/0001-94,"-05º49'02,136""","-50º34'01,808""",Sul do Equador,PA,MARABÁ,Minério de Cobre,11.00,"969,524.00",Baixa,Média,C,Sim
DIQUE DE FINOS II,Salobo Metais Sa.,33.931.478/0001-94,"-05º49'57,400""","-50º32'28,000""",Sul do Equador,PA,MARABÁ,Minério de Cobre,16.42,"2,800,000.00",Baixa,Média,C,Sim
DIQUE DE FINOS III,Salobo Metais Sa.,33.931.478/0001-94,"-05º46'46,700""","-50º32'19,100""",Sul do Equador,PA,MARABÁ,Minério de Cobre,16.50,"22,937.88",Baixa,Média,C,Sim
Estéril Sul,Vale S A Filial: Vale Carajas,33.592.510/0370-74,"-06º05'58,000""","-50º09'45,000""",Sul do Equador,PA,PARAUAPEBAS,Minério de Ferro,25.00,"1,875,779.93",Baixa,Média,C,Sim
Geladinho,Vale S A Filial: Vale Carajas,33.592.510/0370-74,"-05º59'41,200""","-50º06'34,100""",Sul do Equador,PA,PARAUAPEBAS,Minério de Ferro,24.00,"5,811,299.00",Baixa,Alta,B,Sim
Gelado,Vale S A Filial: Vale Carajas,33.592.510/0370-74,"-05º58'45,400""","-50º08'29,100""",Sul do Equador,PA,PARAUAPEBAS,Minério de Ferro,34.00,"110,469,304.67",Baixa,Alta,B,Sim
Jacaré,Vale S A Filial: Vale Carajas,33.592.510/0370-74,"-06º06'29,300""","-50º10'08,600""",Sul do Equador,PA,PARAUAPEBAS,Minério de Ferro,34.50,"681,816.00",Baixa,Média,C,Sim
Kalunga,Vale S A Filial: Vale Manganês do Azul,33.592.510/0130-51,"-06º06'45,100""","-50º18'29,900""",Sul do Equador,PA,PARAUAPEBAS,Minério de Manganês,21.00,"1,662,946.63",Baixa,Média,C,Sim
LD1 - Lagoa de Disposição 01,Alcoa World Alumina Brasil Ltda.,06.167.730/0001-68,"-02º30'02,500""","-56º10'00,500""",Sul do Equador,PA,JURUTI,Bauxita Grau Não Metalúrgico,24.00,"2,879,251.38",Baixa,Média,C,Sim
LD2 - Lagoa de Disposição 02,Alcoa World Alumina Brasil Ltda.,06.167.730/0001-68,"-02º29'47,800""","-56º10'25,700""",Sul do Equador,PA,JURUTI,Bauxita Grau Não Metalúrgico,24.00,"3,037,180.56",Baixa,Média,C,Sim
LD3 - Lagoa de Disposição 03,Alcoa World Alumina Brasil Ltda.,06.167.730/0001-68,"-02º29'45,200""","-56º11'16,840""",Sul do Equador,PA,JURUTI,Bauxita Grau Não Metalúrgico,14.80,"4,356,851.57",Baixa,Média,C,Sim
LE - Lagoa de Espessamento,Alcoa World Alumina Brasil Ltda.,06.167.730/0001-68,"-02º30'18,000""","-56º10'32,800""",Sul do Equador,PA,JURUTI,Bauxita Grau Não Metalúrgico,11.50,"4,269,081.35",Baixa,Média,C,Sim
Pera Jusante,Vale S A Filial: Vale Carajas,33.592.510/0370-74,"-06º02'49,900""","-50º08'34,500""",Sul do Equador,PA,PARAUAPEBAS,Minério de Ferro,51.00,"4,249,278.83",Baixa,Alta,B,Sim
Pera Montante,Vale S A Filial: Vale Carajas,33.592.510/0370-74,"-06º03'24,600""","-50º08'37,600""",Sul do Equador,PA,PARAUAPEBAS,Minério de Ferro,30.00,"641,566.00",Baixa,Baixa,E,Sim
PONDES DE REJEITOS DO IGARAPÉ BAHIA,Vale S A Filial: Vale Minas Gerais,33.592.510/0217-47,"-06º02'33,300""","-50º34'49,900""",Sul do Equador,PA,PARAUAPEBAS,Minério de Ouro Primário,25.00,"12,000,000.00",Média,Alta,B,Sim
RP1,Mineração Paragominas S.A.,12.094.570/0004-10,"-03º15'33,857""","-47º45'28,375""",Sul do Equador,PA,PARAGOMINAS,Bauxita Grau Metalúrgico,13.50,"11,626,208.00",Baixa,Alta,B,Sim
SP1,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º40'58,500""","-56º25'05,400""",Sul do Equador,PA,ORIXIMINÁ,Argila,15.00,"1,470,000.00",Baixa,Média,C,Sim
SP10,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º41'00,600""","-56º27'09,600""",Sul do Equador,PA,ORIXIMINÁ,Argila,16.00,"7,300,000.00",Baixa,Média,C,Sim
SP11,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º40'57,500""","-56º27'47,800""",Sul do Equador,PA,ORIXIMINÁ,Argila,16.00,"5,400,000.00",Baixa,Média,C,Sim
SP12,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º41'14,300""","-56º28'05,700""",Sul do Equador,PA,ORIXIMINÁ,Argila,15.00,"3,600,000.00",Baixa,Média,C,Sim
SP13,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º41'34,600""","-56º28'02,300""",Sul do Equador,PA,ORIXIMINÁ,Argila,15.00,"2,298,321.00",Baixa,Média,C,Sim
SP14,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º41'55,500""","-56º28'13,000""",Sul do Equador,PA,ORIXIMINÁ,Argila,15.00,"2,200,000.00",Baixa,Média,C,Sim
SP15,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º41'59,600""","-56º28'31,500""",Sul do Equador,PA,ORIXIMINÁ,Argila,20.00,"1,700,000.00",Baixa,Média,C,Sim
SP16,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º41'38,000""","-56º28'34,000""",Sul do Equador,PA,ORIXIMINÁ,Argila,20.00,"8,900,000.00",Baixa,Média,C,Sim
SP2_3,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º41'04,900""","-56º24'13,300""",Sul do Equador,PA,ORIXIMINÁ,Argila,20.00,"4,900,000.00",Baixa,Média,C,Sim
SP4 Norte,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º41'05,300""","-56º25'37,400""",Sul do Equador,PA,ORIXIMINÁ,Argila,19.00,"7,107,205.40",Baixa,Média,C,Sim
SP4 Sul,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º41'26,200""","-56º25'37,100""",Sul do Equador,PA,ORIXIMINÁ,Argila,19.00,"5,455,557.30",Baixa,Média,C,Sim
SP5 Leste,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º40'57,700""","-56º26'07,500""",Sul do Equador,PA,ORIXIMINÁ,Argila,19.00,"6,994,486.60",Baixa,Média,C,Sim
SP5 Oeste,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º40'58,200""","-56º26'40,400""",Sul do Equador,PA,ORIXIMINÁ,Argila,19.00,"9,274,798.90",Baixa,Média,C,Sim
SP6,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º40'34,800""","-56º25'27,400""",Sul do Equador,PA,ORIXIMINÁ,Argila,12.00,"712,790.00",Baixa,Média,C,Sim
SP7A,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º40'17,600""","-56º26'03,100""",Sul do Equador,PA,ORIXIMINÁ,Argila,19.00,"4,300,000.00",Baixa,Média,C,Sim
SP7B,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º40'11,000""","-56º26'24,300""",Sul do Equador,PA,ORIXIMINÁ,Argila,16.00,"5,843,082.80",Baixa,Média,C,Sim
SP7C,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º40'10,900""","-56º26'41,600""",Sul do Equador,PA,ORIXIMINÁ,Argila,16.00,"8,200,000.00",Baixa,Média,C,Sim
SP8,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º40'24,500""","-56º27'10,100""",Sul do Equador,PA,ORIXIMINÁ,Argila,16.00,"11,900,000.00",Baixa,Média,C,Sim
SP9,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º40'29,700""","-56º27'39,300""",Sul do Equador,PA,ORIXIMINÁ,Argila,10.00,"8,200,000.00",Baixa,Média,C,Sim
SP9A,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º40'06,700""","-56º27'44,100""",Sul do Equador,PA,ORIXIMINÁ,Argila,8.00,"2,480,789.20",Baixa,Média,C,Sim
TP1,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º40'54,400""","-56º24'39,900""",Sul do Equador,PA,ORIXIMINÁ,Argila,15.00,"8,500,000.00",Baixa,Alta,B,Sim
TP2,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º40'35,400""","-56º26'16,800""",Sul do Equador,PA,ORIXIMINÁ,Argila,15.00,"8,956,085.00",Baixa,Alta,B,Sim
TP3,Mineracao Rio do Norte S A,04.932.216/0001-46,"-01º41'16,000""","-56º28'21,000""",Sul do Equador,PA,ORIXIMINÁ,Argila,22.00,"5,390,783.00",Baixa,Média,C,Sim
Bacia de Decantação Final No Bota Fora,Mineração Nossa Senhora do Carmo Ltda,83.647.750/0001-87,"-24º44'54,630""","-49º11'16,070""",Sul do Equador,PR,CERRO AZUL,Fluorita,22.00,"226,035.00",Média,Média,C,Sim
BARRAGEM SUL OU TANQUE VELHO,Mineração Tabiporã Ltda,79.066.841/0001-51,"-25º22'13,821""","-49º41'27,099""",Sul do Equador,PR,CAMPO LARGO,Minério de Ouro Primário,25.00,"302,000.00",Baixa,Média,C,Sim
Pinheirinho,Mineração Nossa Senhora do Carmo Ltda,83.647.750/0001-87,"-24º44'52,790""","-49º11'40,930""",Sul do Equador,PR,CERRO AZUL,Fluorita,13.50,"672,408.00",Média,Média,C,Sim
BARRAGEM DE REJEITOS,Cimento Tupi S.a.,33.039.223/0001-11,"-22º27'18,200""","-44º17'10,300""",Sul do Equador,RJ,QUATIS,Argila Arenosa,19.00,"204,000.00",Baixa,Alta,B,Sim
CA01,Metalmig Mineração Indústria e Comércio S A,34.456.038/0001-95,"-09º25'54,500""","-63º03'19,900""",Sul do Equador,RO,ITAPUÃ DO OESTE,Aluvião Estanífero,5.00,"105,000.00",Média,Alta,B,Sim
CA02,Metalmig Mineração Indústria e Comércio S A,34.456.038/0001-95,"-09º25'53,900""","-63º03'19,900""",Sul do Equador,RO,ITAPUÃ DO OESTE,Areia,5.00,"60,000.00",Média,Alta,B,Sim
Igarapé Mutum,Cooperativa de Garimpeiros de Santa Cruz Ltda,34.726.547/0001-90,"-09º45'55,465""","-63º31'12,111""",Sul do Equador,RO,ARIQUEMES,Aluvião Estanífero,5.00,"10,699,776.00",Média,Média,C,Sim
Jacaré Inferior,Cooperativa de Garimpeiros de Santa Cruz Ltda,34.726.547/0001-90,"-09º47'16,100""","-63º34'30,600""",Sul do Equador,RO,ARIQUEMES,Aluvião Estanífero,8.00,"3,595,017.00",Média,Média,C,Sim
Jacaré Medio,Cooperativa de Garimpeiros de Santa Cruz Ltda,34.726.547/0001-90,"-09º47'43,800""","-63º33'55,000""",Sul do Equador,RO,ARIQUEMES,Aluvião Estanífero,8.00,"3,020,623.00",Média,Alta,B,Sim
Jacaré Superior,Cooperativa de Garimpeiros de Santa Cruz Ltda,34.726.547/0001-90,"-09º49'01,200""","-63º33'11,500""",Sul do Equador,RO,ARIQUEMES,Aluvião Estanífero,10.00,"9,170,673.00",Média,Média,C,Sim
PIT-01,Estanho de Rondonia S A,00.684.808/0001-35,"-09º12'57,800""","-63º04'33,600""",Sul do Equador,RO,ITAPUÃ DO OESTE,Aluvião Estanífero,14.30,"462,588.80",Baixa,Alta,B,Sim
Rio Santa Cruz,Cooperativa de Garimpeiros de Santa Cruz Ltda,34.726.547/0001-90,"-09º45'57,100""","-63º34'06,900""",Sul do Equador,RO,ARIQUEMES,Aluvião Estanífero,10.00,"3,755,613.00",Média,Média,C,Sim
Taboquinha 01 - Crente,Estanho de Rondonia S A,00.684.808/0001-35,"-09º11'54,200""","-63º04'49,000""",Sul do Equador,RO,ITAPUÃ DO OESTE,Aluvião Estanífero,18.00,"435,000.00",Baixa,Média,C,Sim
Taboquinha 02 - Serra Azul,Estanho de Rondonia S A,00.684.808/0001-35,"-09º12'15,700""","-63º05'04,400""",Sul do Equador,RO,ITAPUÃ DO OESTE,Aluvião Estanífero,18.00,"87,000.00",Baixa,Média,C,Sim
Taboquinha 03,Estanho de Rondonia S A,00.684.808/0001-35,"-09º12'19,954""","-63º05'01,035""",Sul do Equador,RO,ITAPUÃ DO OESTE,Aluvião Estanífero,15.00,"194,900.00",Média,Média,C,Sim
Taboquinha 04,Estanho de Rondonia S A,00.684.808/0001-35,"-09º12'39,100""","-63º05'11,000""",Sul do Equador,RO,ITAPUÃ DO OESTE,Aluvião Estanífero,20.00,"145,193.15",Média,Média,C,Sim
